Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value,Season,pollutant,value_std,AQI_cat,AQI_cat_simplified
667808,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,407,Flushing And Whitestone (Cd7),2019-12-01,22.99,Winter,NO2,101.80631274537578,Mauvais,1
213404,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,105,Midtown (Cd5),2014-06-01,34.36,Summer,NO2,134.5281366068423,Mauvais,1
171690,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,309310,Union Square-Lower Manhattan,2011-12-01,30.73,Winter,NO2,132.40212706752112,Mauvais,1
216609,386,Ozone (O3),Mean,ppb,Cd,414,Rockaway And Broad Channel (Cd14),2010-06-01,39.08,Summer,O3,0.13410478639266188,Dangereux,1
175965,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,103,Fordham - Bronx Pk,2011-06-01,18.38,Summer,NO2,67.87393651038083,Modéré,0
670887,386,Ozone (O3),Mean,ppb,Cd,204,Highbridge And Concourse (Cd4),2020-06-01,29.89,Summer,O3,0.1461170053695576,Dangereux,1
602810,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,409,Southeast Queens,2018-01-01,16.21,Winter,NO2,59.79555244731111,Modéré,0
412469,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,208,Canarsie - Flatlands,2015-12-01,20.86,Winter,NO2,88.5173933844243,Modéré,0
741206,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,304,Bushwick (Cd4),2021-06-01,12.67,Summer,NO2,51.405881178768595,Bon,0
221829,386,Ozone (O3),Mean,ppb,Uhf34,203,Bedford Stuyvesant - Crown Heights,2013-06-01,29.66,Summer,O3,0.11875928958294071,Dangereux,1
167713,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,304,Bushwick (Cd4),2011-12-01,22.36,Winter,NO2,109.49149267628688,Mauvais,1
667749,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,315,Sheepshead Bay (Cd15),2020-06-01,9.08,Summer,NO2,36.70313057571771,Bon,0
602905,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,409,Southeast Queens,2017-12-01,21.61,Winter,NO2,88.18488782061061,Modéré,0
165952,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,313,Coney Island (Cd13),2011-12-01,18.16,Winter,NO2,79.42765119355305,Modéré,0
